"School Year",State,"NCES LEA ID",LEA,School,"NCES SCH ID","Data Group","Data Description",Value,Numerator,Denominator,Population,Subgroup,Characteristics,Age/Grade,"Academic Subject",Outcome,"Program Type"
2021-2022,WISCONSIN,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",92%,,2612,"All Students","Asian/Pacific Islander",,,,,
2021-2022,WISCONSIN,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",92%,,2569,"All Students",Asian,,,,,
2021-2022,WISCONSIN,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",88%,,43,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,WISCONSIN,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",70.9%,,5668,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,WISCONSIN,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",87%,,2440,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,WISCONSIN,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",94.2%,,46487,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,WISCONSIN,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",72.8%,,8215,"All Students","Children with disabilities",,,,,
2021-2022,WISCONSIN,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",81.4%,,23093,"All Students","Economically Disadvantaged",,,,,
2021-2022,WISCONSIN,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",76%,,2634,"All Students","English Learner",,,,,
2021-2022,WISCONSIN,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",59%,,268,"All Students","Foster care students",,,,,
2021-2022,WISCONSIN,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",68%,,1415,"All Students",Homeless,,,,,
2021-2022,WISCONSIN,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",82.4%,,8011,"All Students",Hispanic/Latino,,,,,
2021-2022,WYOMING,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",81.8%,,7191,"All Students","All Students in SEA",,,,,
2021-2022,WYOMING,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",49%,,217,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,WYOMING,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",>=95%,,66,"All Students","Asian/Pacific Islander",,,,,
2021-2022,WYOMING,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",S,,62,"All Students",Asian,,,,,
2021-2022,WYOMING,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",S,,4,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,WYOMING,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",80%,,79,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,WYOMING,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",78%,,209,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,WYOMING,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",84.1%,,5579,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,WYOMING,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",63%,,1010,"All Students","Children with disabilities",,,,,
2021-2022,WYOMING,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",68%,,2950,"All Students","Economically Disadvantaged",,,,,
2021-2022,WYOMING,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",63%,,201,"All Students","English Learner",,,,,
2021-2022,WYOMING,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",51%,,95,"All Students","Foster care students",,,,,
2021-2022,WYOMING,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",57%,,340,"All Students",Homeless,,,,,
2021-2022,WYOMING,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",76%,,1041,"All Students",Hispanic/Latino,,,,,
